Numero de documentos: 18046 
Numero de palabras del corpus: 10553
Palabra: approx Frec: 4 LogProb: -9.164380199599805
Palabra: approximately Frec: 8 LogProb: -8.576593534697684
Palabra: apps Frec: 3 LogProb: -9.387523750914013
Palabra: apr Frec: 9 LogProb: -8.47123301903986
Palabra: april Frec: 147 LogProb: -5.77660583826979
Palabra: aprn Frec: 3 LogProb: -9.387523750914013
Palabra: apron Frec: 3 LogProb: -9.387523750914013
Palabra: apt Frec: 3 LogProb: -9.387523750914013
Palabra: aquarium Frec: 2 LogProb: -9.675205823365795
Palabra: ar Frec: 2 LogProb: -9.675205823365795
Palabra: arab Frec: 4 LogProb: -9.164380199599805
Palabra: arabia Frec: 17 LogProb: -7.88344635413774
Palabra: aramco Frec: 2 LogProb: -9.675205823365795
Palabra: arbitrage Frec: 3 LogProb: -9.387523750914013
Palabra: arch Frec: 2 LogProb: -9.675205823365795
Palabra: architecture Frec: 2 LogProb: -9.675205823365795
Palabra: arctic Frec: 2 LogProb: -9.675205823365795
Palabra: area Frec: 174 LogProb: -5.609032138110391
Palabra: aren Frec: 17 LogProb: -7.88344635413774
Palabra: arena Frec: 4 LogProb: -9.164380199599805
