Numero de documentos: 15397 
Numero de palabras del corpus: 9546
Palabra: anxious Frec: 26 LogProb: -6.561187812121458
Palabra: anybody Frec: 15 LogProb: -7.084435955886006
Palabra: anymore Frec: 19 LogProb: -6.861292404571796
Palabra: anytime Frec: 5 LogProb: -8.065265208897733
Palabra: anyways Frec: 3 LogProb: -8.470730317005897
Palabra: aoc Frec: 2 LogProb: -8.758412389457677
Palabra: ap Frec: 9 LogProb: -7.554439585131742
Palabra: apac Frec: 2 LogProb: -8.758412389457677
Palabra: apart Frec: 45 LogProb: -6.0283832816366925
Palabra: apartment Frec: 11 LogProb: -7.372118028337787
Palabra: apex Frec: 3 LogProb: -8.470730317005897
Palabra: apocalypse Frec: 27 LogProb: -6.524820167950583
Palabra: apocalypse2020 Frec: 4 LogProb: -8.247586765691686
Palabra: apocalyptic Frec: 8 LogProb: -7.6598001007895675
Palabra: apologise Frec: 3 LogProb: -8.470730317005897
Palabra: apologize Frec: 5 LogProb: -8.065265208897733
Palabra: app Frec: 42 LogProb: -6.095824562432225
Palabra: appal Frec: 11 LogProb: -7.372118028337787
Palabra: appalled Frec: 2 LogProb: -8.758412389457677
Palabra: appalling Frec: 9 LogProb: -7.554439585131742
Palabra: apparel Frec: 9 LogProb: -7.554439585131742
Palabra: apparent Frec: 8 LogProb: -7.6598001007895675
Palabra: apparently Frec: 45 LogProb: -6.0283832816366925
Palabra: appeal Frec: 18 LogProb: -6.912585698959346
Palabra: appear Frec: 48 LogProb: -5.965204380015161
Palabra: appearance Frec: 2 LogProb: -8.758412389457677
Palabra: appetite Frec: 5 LogProb: -8.065265208897733
Palabra: apple Frec: 22 LogProb: -6.721530462196637
Palabra: applicable Frec: 2 LogProb: -8.758412389457677
Palabra: application Frec: 6 LogProb: -7.911114529070474
Palabra: apply Frec: 29 LogProb: -6.455827296463632
Palabra: appoint Frec: 5 LogProb: -8.065265208897733
Palabra: appointment Frec: 10 LogProb: -7.459129405327417
Palabra: appreciate Frec: 13 LogProb: -7.217967348510529
Palabra: appreciated Frec: 2 LogProb: -8.758412389457677
Palabra: appreciation Frec: 7 LogProb: -7.777583136445951
Palabra: approach Frec: 26 LogProb: -6.561187812121458
Palabra: appropriate Frec: 11 LogProb: -7.372118028337787
Palabra: appropriately Frec: 2 LogProb: -8.758412389457677
Palabra: approve Frec: 23 LogProb: -6.678970847777841
Palabra: approved Frec: 2 LogProb: -8.758412389457677
Palabra: approx Frec: 3 LogProb: -8.470730317005897
Palabra: approximately Frec: 7 LogProb: -7.777583136445951
Palabra: apps Frec: 8 LogProb: -7.6598001007895675
Palabra: appt Frec: 4 LogProb: -8.247586765691686
Palabra: apr Frec: 3 LogProb: -8.470730317005897
Palabra: april Frec: 99 LogProb: -5.251854492137696
Palabra: apron Frec: 2 LogProb: -8.758412389457677
Palabra: aquarium Frec: 2 LogProb: -8.758412389457677
Palabra: ar Frec: 12 LogProb: -7.29207532066425
Palabra: arab Frec: 9 LogProb: -7.554439585131742
Palabra: arabia Frec: 85 LogProb: -5.402677381872279
Palabra: aramco Frec: 4 LogProb: -8.247586765691686
Palabra: arbitrary Frec: 3 LogProb: -8.470730317005897
Palabra: architects Frec: 3 LogProb: -8.470730317005897
Palabra: archive Frec: 2 LogProb: -8.758412389457677
Palabra: area Frec: 143 LogProb: -4.887211378549787
Palabra: aren Frec: 20 LogProb: -6.812502240402364
Palabra: argentina Frec: 4 LogProb: -8.247586765691686
Palabra: argh Frec: 2 LogProb: -8.758412389457677
Palabra: argo Frec: 6 LogProb: -7.911114529070474
Palabra: argos Frec: 3 LogProb: -8.470730317005897
Palabra: arguably Frec: 2 LogProb: -8.758412389457677
Palabra: argue Frec: 28 LogProb: -6.489728848139313
Palabra: argument Frec: 5 LogProb: -8.065265208897733
Palabra: arise Frec: 10 LogProb: -7.459129405327417
Palabra: arizona Frec: 13 LogProb: -7.217967348510529
Palabra: arkansas Frec: 7 LogProb: -7.777583136445951
Palabra: arm Frec: 15 LogProb: -7.084435955886006
Palabra: armageddon Frec: 2 LogProb: -8.758412389457677
Palabra: armed Frec: 10 LogProb: -7.459129405327417
Palabra: armor Frec: 2 LogProb: -8.758412389457677
Palabra: army Frec: 28 LogProb: -6.489728848139313
Palabra: arr Frec: 2 LogProb: -8.758412389457677
Palabra: arrange Frec: 8 LogProb: -7.6598001007895675
Palabra: arrangement Frec: 4 LogProb: -8.247586765691686
Palabra: arrest Frec: 110 LogProb: -5.147494476813453
Palabra: arrival Frec: 7 LogProb: -7.777583136445951
Palabra: arrive Frec: 29 LogProb: -6.455827296463632
Palabra: arrogant Frec: 4 LogProb: -8.247586765691686
Palabra: arrow Frec: 5 LogProb: -8.065265208897733
Palabra: arse Frec: 2 LogProb: -8.758412389457677
Palabra: arsehole Frec: 17 LogProb: -6.966652920229622
Palabra: arsenal Frec: 2 LogProb: -8.758412389457677
Palabra: arsis Frec: 2 LogProb: -8.758412389457677
Palabra: art Frec: 8 LogProb: -7.6598001007895675
Palabra: artchallenge Frec: 2 LogProb: -8.758412389457677
Palabra: arthritis Frec: 2 LogProb: -8.758412389457677
Palabra: article Frec: 68 LogProb: -5.622918173528528
Palabra: artificial Frec: 6 LogProb: -7.911114529070474
Palabra: artificially Frec: 4 LogProb: -8.247586765691686
Palabra: artist Frec: 10 LogProb: -7.459129405327417
Palabra: artwithfriend Frec: 2 LogProb: -8.758412389457677
Palabra: asap Frec: 10 LogProb: -7.459129405327417
Palabra: asda Frec: 44 LogProb: -6.050362188355468
Palabra: ashamed Frec: 40 LogProb: -6.14345261142148
Palabra: ashley Frec: 13 LogProb: -7.217967348510529
Palabra: asia Frec: 37 LogProb: -6.219438518399402
Palabra: asian Frec: 57 LogProb: -5.7965816675793675
Palabra: asians Frec: 6 LogProb: -7.911114529070474
Palabra: aside Frec: 15 LogProb: -7.084435955886006
Palabra: ask Frec: 276 LogProb: -4.233007171938449
Palabra: askdrh Frec: 2 LogProb: -8.758412389457677
Palabra: asos Frec: 2 LogProb: -8.758412389457677
Palabra: aspect Frec: 4 LogProb: -8.247586765691686
Palabra: ass Frec: 82 LogProb: -5.438184070329189
Palabra: assault Frec: 15 LogProb: -7.084435955886006
Palabra: assess Frec: 12 LogProb: -7.29207532066425
Palabra: assessment Frec: 3 LogProb: -8.470730317005897
Palabra: asset Frec: 31 LogProb: -6.3912887753260605
Palabra: asshat Frec: 2 LogProb: -8.758412389457677
Palabra: asshole Frec: 33 LogProb: -6.330664153509626
Palabra: assholes Frec: 3 LogProb: -8.470730317005897
Palabra: assist Frec: 16 LogProb: -7.023811334069571
Palabra: assistance Frec: 36 LogProb: -6.246106765481563
Palabra: assistant Frec: 7 LogProb: -7.777583136445951
Palabra: assoc Frec: 2 LogProb: -8.758412389457677
Palabra: associate Frec: 26 LogProb: -6.561187812121458
Palabra: associated Frec: 3 LogProb: -8.470730317005897
Palabra: associates Frec: 2 LogProb: -8.758412389457677
Palabra: association Frec: 12 LogProb: -7.29207532066425
